tournament_name,tournament_link,country,match_link,match_report_link,date,kick_off,home_team_name,away_team_name,full_time,half_time,home_team_link,away_team_link,home_shots,home_shots_on_target,home_possession,home_pass_success,home_tackles,home_aerial_duel_success,home_dribbles_won,away_shots,away_shots_on_target,away_possession,away_pass_success,away_tackles,away_aerial_duel_success,away_dribbles_won
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084971/Live,https://www.whoscored.com/Matches/1084971/MatchReport/England-Championship-2016-2017-Birmingham-Sheffield-Wednesday,"Sat, 17-Sep-16",17:30,Birmingham,Sheff Wed,2 : 1,0 : 0,/Teams/157,/Teams/25,11,6,45%,73%,14,48%,7,11,2,55%,79%,25,52%,4
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1085109/Live,https://www.whoscored.com/Matches/1085109/MatchReport/England-Championship-2016-2017-Brighton-Aston-Villa,"Fri, 18-Nov-16",19:45,Brighton,Aston Villa,1 : 1,1 : 1,/Teams/211,/Teams/24,7,2,59%,79%,19,56%,10,14,2,41%,68%,10,44%,15
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1085035/Live,https://www.whoscored.com/Matches/1085035/MatchReport/England-Championship-2016-2017-Reading-Nottingham-Forest,"Sat, 29-Oct-16",15:00,Reading,Nottingham Forest,2 : 0,1 : 0,/Teams/94,/Teams/174,7,4,62%,81%,9,64%,11,21,5,38%,66%,15,36%,3
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084883/Live,https://www.whoscored.com/Matches/1084883/MatchReport/England-Championship-2016-2017-Preston-Fulham,"Sat, 13-Aug-16",15:00,Preston,Fulham,1 : 2,0 : 1,/Teams/181,/Teams/170,15,3,45%,68%,24,37%,5,16,5,55%,79%,17,63%,18
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084896/Live,https://www.whoscored.com/Matches/1084896/MatchReport/England-Championship-2016-2017-Newcastle-United-Reading,"Wed, 17-Aug-16",19:45,Newcastle United,Reading,4 : 1,1 : 1,/Teams/23,/Teams/94,11,7,42%,75%,20,47%,4,13,3,58%,79%,15,53%,4
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084879/Live,https://www.whoscored.com/Matches/1084879/MatchReport/England-Championship-2016-2017-Cardiff-Queens-Park-Rangers,"Sun, 14-Aug-16",15:00,Cardiff,QPR,0 : 2,0 : 0,/Teams/188,/Teams/171,9,1,50%,73%,13,49%,2,9,2,50%,76%,6,51%,2
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084932/Live,https://www.whoscored.com/Matches/1084932/MatchReport/England-Championship-2016-2017-Newcastle-United-Wolverhampton-Wanderers,"Sat, 17-Sep-16",15:00,Newcastle,Wolves,0 : 2,0 : 1,/Teams/23,/Teams/161,17,3,68%,78%,15,44%,6,12,5,32%,60%,20,56%,5
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084964/Live,https://www.whoscored.com/Matches/1084964/MatchReport/England-Championship-2016-2017-Birmingham-Preston,"Tue, 27-Sep-16",19:45,Birmingham,Preston,2 : 2,1 : 2,/Teams/157,/Teams/181,15,4,57%,75%,17,53%,2,13,5,43%,67%,23,47%,8
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1085106/Live,https://www.whoscored.com/Matches/1085106/MatchReport/England-Championship-2016-2017-Birmingham-Aston-Villa,"Sun, 30-Oct-16",12:00,Birmingham,Aston Villa,1 : 1,0 : 1,/Teams/157,/Teams/24,14,3,60%,60%,13,46%,7,5,1,40%,46%,13,54%,3
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084909/Live,https://www.whoscored.com/Matches/1084909/MatchReport/England-Championship-2016-2017-Wigan-Queens-Park-Rangers,"Sat, 27-Aug-16",15:00,Wigan,QPR,0 : 1,0 : 0,/Teams/194,/Teams/171,9,1,56%,75%,12,39%,11,10,3,44%,65%,13,61%,10
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084969/Live,https://www.whoscored.com/Matches/1084969/MatchReport/England-Championship-2016-2017-Barnsley-Reading,"Sat, 17-Sep-16",15:00,Barnsley,Reading,1 : 2,0 : 2,/Teams/142,/Teams/94,22,6,55%,79%,17,51%,12,11,6,45%,74%,22,49%,10
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1085058/Live,https://www.whoscored.com/Matches/1085058/MatchReport/England-Championship-2016-2017-Newcastle-United-Blackburn,"Sat, 26-Nov-16",15:00,Newcastle,Blackburn,0 : 1,0 : 0,/Teams/23,/Teams/158,15,2,66%,77%,10,47%,2,11,2,34%,59%,15,53%,1
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084870/Live,https://www.whoscored.com/Matches/1084870/MatchReport/England-Championship-2016-2017-Reading-Preston,"Sat, 06-Aug-16",15:00,Reading,Preston,1 : 0,1 : 0,/Teams/94,/Teams/181,15,5,71%,85%,5,52%,12,7,3,29%,60%,14,48%,4
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1085052/Live,https://www.whoscored.com/Matches/1085052/MatchReport/England-Championship-2016-2017-Leeds-Reading,"Tue, 13-Dec-16",19:45,Leeds,Reading,2 : 0,1 : 0,/Teams/19,/Teams/94,12,4,23%,68%,16,46%,5,14,2,77%,90%,9,54%,9
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084990/Live,https://www.whoscored.com/Matches/1084990/MatchReport/England-Championship-2016-2017-Huddersfield-Rotherham,"Tue, 27-Sep-16",19:45,Huddersfield,Rotherham,2 : 1,2 : 1,/Teams/166,/Teams/210,16,4,65%,79%,7,33%,14,7,1,35%,57%,28,67%,3
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1085082/Live,https://www.whoscored.com/Matches/1085082/MatchReport/England-Championship-2016-2017-Rotherham-Burton,"Thu, 29-Dec-16",19:45,Rotherham,Burton,1 : 2,1 : 2,/Teams/210,/Teams/1786,20,8,56%,69%,7,42%,7,11,4,44%,59%,16,58%,8
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1085048/Live,https://www.whoscored.com/Matches/1085048/MatchReport/England-Championship-2016-2017-Fulham-Rotherham,"Tue, 13-Dec-16",19:45,Fulham,Rotherham,2 : 1,1 : 1,/Teams/170,/Teams/210,30,11,80%,86%,6,53%,12,8,6,20%,45%,18,47%,5
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084911/Live,https://www.whoscored.com/Matches/1084911/MatchReport/England-Championship-2016-2017-Aston-Villa-Nottingham-Forest,"Sun, 11-Sep-16",13:15,Aston Villa,Nottingham Forest,2 : 2,0 : 0,/Teams/24,/Teams/174,26,8,59%,80%,25,60%,9,3,2,41%,70%,21,40%,4
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1085166/Live,https://www.whoscored.com/Matches/1085166/MatchReport/England-Championship-2016-2017-Wolverhampton-Wanderers-Fulham,"Sat, 10-Dec-16",15:00,Wolves,Fulham,4 : 4,1 : 3,/Teams/161,/Teams/170,20,7,37%,61%,19,52%,10,25,12,63%,79%,17,48%,7
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1085102/Live,https://www.whoscored.com/Matches/1085102/MatchReport/England-Championship-2016-2017-Bristol-City-Reading,"Mon, 02-Jan-17",15:00,Bristol City,Reading,2 : 3,1 : 0,/Teams/182,/Teams/94,11,6,28%,66%,17,50%,8,12,6,72%,85%,9,50%,3
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1085107/Live,https://www.whoscored.com/Matches/1085107/MatchReport/England-Championship-2016-2017-Burton-Preston,"Mon, 02-Jan-17",15:00,Burton,Preston,0 : 1,0 : 1,/Teams/1786,/Teams/181,11,0,59%,69%,21,39%,4,6,3,41%,59%,22,61%,3
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1085076/Live,https://www.whoscored.com/Matches/1085076/MatchReport/England-Championship-2016-2017-Nottingham-Forest-Cardiff,"Sat, 22-Oct-16",17:30,Nottingham Forest,Cardiff,1 : 2,0 : 2,/Teams/174,/Teams/188,17,3,68%,74%,13,47%,6,12,5,32%,54%,16,53%,11
Championship - 2016/2017,/Regions/252/Tournaments/7/Seasons/6365,England,https://www.whoscored.com/Matches/1084897/Live,https://www.whoscored.com/Matches/1084897/MatchReport/England-Championship-2016-2017-Burton-Derby,"Fri, 26-Aug-16",19:45,Burton,Derby,1 : 0,1 : 0,/Teams/1786,/Teams/20,7,4,36%,59%,22,55%,7,10,3,64%,82%,11,45%,11
